Name,Species,N,logepsX_sun,l_logepsX,logepsX,e_logepsX,[X/H],[X/Fe],[X/Fe]_F00
HIP68807,C-H,2,8.43,,6.76,0.21,-1.67,+0.19,
HIP68807,O I,0,8.69,,,,,,
HIP68807,Na I,3,6.24,,4.36,0.05,-1.88,-0.02,-0.13
HIP68807,Mg I,6,7.60,,6.17,0.05,-1.43,+0.43,+0.49
HIP68807,Al I,,6.45,,,,,,
HIP68807,Ca I,17,6.34,,4.89,0.05,-1.45,+0.41,+0.37
HIP68807,Sc II,6,3.15,,1.45,0.06,-1.70,+0.16,
HIP68807,Ti I,23,4.95,,3.25,0.05,-1.70,+0.16,+0.20
HIP68807,Ti II,18,4.95,,3.45,0.05,-1.50,+0.36,
HIP68807,Cr I,14,5.64,,3.61,0.05,-2.03,-0.17,-0.12
HIP68807,Mn I,3,5.43,,3.40,0.07,-2.03,-0.17,
HIP68807,Fe I,127,7.50,,5.64,0.05,-1.86,0.00,(-1.83)
HIP68807,Fe II,14,7.50,,5.68,0.05,-1.82,0.04,
HIP68807,Co I,,4.99,
HIP68807,Ni I,12,6.22,,4.48,0.05,-1.74,+0.12,-0.03
HIP68807,Zn I,1,4.56,,2.84,0.20,-1.72,+0.14,
HIP68807,Sr II,,2.87,,,,,,
HIP68807,Ba II,3,2.18,,0.69,0.14,-1.49,+0.37,+0.27
HIP68807,La II,1,1.10,,-0.68,0.30,-1.78,+0.08,
HIP68807,Eu II,1,0.52,,-0.99,0.40,-1.51,+0.35,+0.40
HIP47139,C-H,2,8.43,,6.61,0.21,-1.82,-0.23,
HIP47139,O I,1,8.69,,8.14,0.15,-0.55,+ 1.04,
HIP47139,Na I,4,6.24,,4.65,0.05,-1.59,0.00,-0.18
HIP47139,Mg I,4,7.60,,6.42,0.08,-1.18,+0.41,+0.54
HIP47139,Al I,0,6.45,,,,,,
HIP47139,Ca I,16,6.34,,5.05,0.05,-1.29,+0.30,+0.27
HIP47139,Sc II,12,3.15,,1.64,0.05,-1.51,+0.08,
HIP47139,Ti I,26,4.95,,3.52,0.05,-1.43,+0.16,+0.29
HIP47139,Ti II,18,4.95,,3.67,0.05,-1.28,+0.31,
HIP47139,Cr I,16,5.64,,3.94,0.07,-1.70,-0.11,-0.17
HIP47139,Mn I,3,5.43,,3.58,0.07,-1.85,-0.26,
HIP47139,Fe I,109,7.50,,5.91,0.05,-1.59,0.00,(-1.46)
HIP47139,Fe II,11,7.50,,5.94,0.05,-1.56,0.03,
HIP47139,Co I,0,4.99,,,,,,
HIP47139,Ni I,18,6.22,,4.65,0.05,-1.57,+0.02,+0.00
HIP47139,Zn I,2,4.56,,2.97,0.11,-1.59,-0.00,
HIP47139,Sr II,,2.87,,,,,,
HIP47139,Ba II,3,2.18,,0.92,0.10,-1.26,+0.33,+0.16
HIP47139,La II,1,1.10,,-0.48,0.30,-1.58,+0.01,
HIP47139,Eu II,1,0.52,,-0.49,0.40,-1.01,+0.58,
