Z,elem,photosphere_logeps,photosphere_logeps_err,meteorite_logeps,meteorite_logeps_err,photosphere-meteorite_logeps_diff
1,H,12.00,,,,
2,He,10.99,0.035,,,
3,Li,1.16,0.10,3.31,0.04,-2.15
4,Be,1.15,0.10,1.42,0.04,-0.27
5,B,2.6,0.3,2.79,0.05,-0.19
6,C,8.55,0.05,,,
7,N,7.97,0.07,,,
8,O,8.87,0.07,,,
9,F,4.56,0.3,4.48,0.06,+0.08
10,Ne,8.08,0.06,,,
11,Na,6.33,0.03,6.32,0.02,+0.01
12,Mg,7.58,0.05,7.58,0.01,0.00
13,Al,6.47,0.07,6.49,0.01,-0.02
14,Si,7.55,0.05,7.56,0.01,-0.01
15,P,5.45,0.04,5.53,0.04,-0.08
16,S,7.33,0.11,7.20,0.04,+0.13
17,Cl,5.5,0.3,5.28,0.06,0.22
18,Ar,6.52,0.10,,,
19,K,5.12,0.13,5.13,0.02,-0.01
20,Ca,6.36,0.02,6.35,0.01,+0.01
21,Sc,3.17,0.10,3.10,0.01,+0.07
22,Ti,5.02,0.06,4.94,0.02,+0.08
23,V,4.00,0.02,4.02,0.02,-0.02
24,Cr,5.67,0.03,5.69,0.01,-0.02
25,Mn,5.39,0.03,5.53,0.01,-0.14
26,Fe,7.50,0.04,7.50,0.01,0.00
27,Co,4.92,0.05,4.91,0.01,+0.01
28,Ni,6.25,0.01,6.25,0.01,0.00
29,Cu,4.21,0.04,4.29,0.04,-0.08
30,Zn,4.60,0.08,4.67,0.04,-0.07
31,Ga,2.88,0.10,3.13,0.02,-0.25
32,Ge,3.41,0.14,3.63,0.04,-0.22
33,As,,,2.37,0.02,
34,Se,,,3.38,0.02,
35,Br,,,2.63,0.04,
36,Kr,,,3.23,0.07,
37,Rb,2.60,0.15,2.41,0.02,+0.19
38,Sr,2.97,0.07,2.92,0.02,+0.05
39,Y,2.24,0.03,2.23,0.02,+0.01
40,Zr,2.60,0.02,2.61,0.02,-0.01
41,Nb,1.42,0.06,1.40,0.02,+0.02
42,Mo,1.92,0.05,1.97,0.02,-0.05
44,Ru,1.84,0.07,1.83,0.04,+0.01
45,Rh,1.12,0.12,1.10,0.08,+0.02
46,Pd,1.69,0.04,1.70,0.04,-0.01
47,Ag,0.94,0.25,1.24,0.04,-0.30
48,Cd,1.77,0.11,1.76,0.04,+0.01
49,In,1.66,0.15,0.82,0.04,+0.84
50,Sn,2.0,0.3,2.14,0.04,-0.14
51,Sb,1.0,0.3,1.03,0.04,-0.03
52,Te,,,2.24,0.04,
53,I,,,1.51,0.08,
54,Xe,,,2.23,0.08,
55,Cs,,,1.13,0.02,
56,Ba,2.13,0.05,2.22,0.02,-0.09
57,La,1.17,0.07,1.22,0.02,-0.05
58,Ce,1.58,0.09,1.63,0.02,-0.05
59,Pr,0.71,0.08,0.80,0.04,-0.09
60,Nd,1.50,0.06,1.49,0.02,+0.01
62,Sm,1.01,0.06,0.98,0.02,+0.03
63,Eu,0.51,0.08,0.55,0.02,-0.04
64,Gd,1.12,0.04,1.09,0.02,+0.03
65,Tb,-0.1,0.3,0.35,0.04,-0.45
66,Dy,1.14,0.08,1.17,0.02,-0.03
67,Ho,0.26,0.16,0.51,0.04,-0.25
68,Er,0.93,0.06,0.97,0.02,-0.04
69,Tm,0.00,0.15,0.15,0.04,-0.15
70,Yb,1.08,0.15,0.96,0.04,+0.12
71,Lu,0.76,0.30,0.13,0.02,+0.63
72,Hf,0.88,0.08,0.75,0.02,+0.13
73,Ta,,,-0.13,0.04,
74,W,1.11,0.15,0.69,0.03,+0.42
75,Re,,,0.28,0.03,
76,Os,1.45,0.10,1.39,0.04,+0.06
77,Ir,1.35,0.10,1.37,0.01,-0.02
78,Pt,1.8,0.3,1.69,0.04,+0.11
79,Au,1.01,0.15,0.87,0.02,+0.14
80,Hg,,,1.17,0.08,
81,Tl,0.9,0.2,0.83,0.04,+0.07
82,Pb,1.95,0.08,2.06,0.04,-0.11
83,Bi,,,0.71,0.06,
90,Th,,,0.09,0.02,
92,U,-0.47,-0.50,0.04,
