Name,Ion,Z,l_logepsX,logepsX,e_logepsX_stat,e_logepsX,Reference
HD 108317,Cu II,29,,+1.42,0.22,0.28,Roederer+2014d
HD 108317,Zn II,30,,+2.50,0.49,0.52,Roederer+2014d
HD 108317,Ge I,32,,+0.19,0.14,0.18,Roederer+2014d
HD 108317,As I,33,,-0.30,0.56,0.57,Roederer+2014d
HD 108317,Se I,34,,+1.28,0.40,0.42,Roederer+2014d
HD 108317,Mo II,42,,-0.05,0.28,0.33,Roederer+2014d
HD 108317,Cd I,48,,-1.21,0.44,0.46,Roederer+2014d
HD 108317,Cd II,48,,-1.08,0.49,0.52,Roederer+2014d
HD 108317,Te I,52,,+0.06,0.28,0.30,Roederer+2014d
HD 108317,Yb II,70,,-1.13,0.14,0.22,Roederer+2014d
HD 108317,W II,74,<,-0.80,,,Roederer+2014d
HD 108317,Os II,76,,-0.68,0.32,0.36,Roederer+2014d
HD 108317,Pt I,78,,-0.40,0.15,0.19,Roederer+2014d
HD 108317,Hg II,80,<,+0.30,,,Roederer+2014d
HD 108317,Pb II,82,<,+0.09,,,Roederer+2014d
HD 108317,Bi I,83,<,-1.02,,,Roederer+2014d
HD 128279,Cu II,29,,+1.36,0.23,0.29,Roederer+2014d
HD 128279,Zn II,30,,+2.38,0.41,0.44,Roederer+2014d
HD 128279,Ge I,32,,-0.03,0.25,0.28,Roederer+2014d
HD 128279,As I,33,,-0.49,0.49,0.50,Roederer+2014d
HD 128279,Se I,34,,+0.55,0.34,0.36,Roederer+2014d
HD 128279,Mo II,42,,-0.56,0.22,0.28,Roederer+2014d
HD 128279,Cd I,48,,-1.34,0.34,0.36,Roederer+2014d
HD 128279,Cd II,48,,-1.30,0.40,0.43,Roederer+2014d
HD 128279,Te I,52,,-0.12,0.27,0.30,Roederer+2014d
HD 128279,Yb II,70,,-1.69,0.13,0.21,Roederer+2014d
HD 128279,W II,74,<,-0.68,,,Roederer+2014d
HD 128279,Os II,76,<,-1.28,,,Roederer+2014d
HD 128279,Pt I,78,<,-0.78,,,Roederer+2014d
HD 128279,Hg II,80,<,+0.53,,,Roederer+2014d
HD 128279,Pb II,82,<,+0.12,,,Roederer+2014d
HD 128279,Bi I,83,,,,,Roederer+2014d
# the following abundances have been copy/pasted over from Roederer+2012d.
HD 108317,Fe I,26,,+4.97,0.09,0.15,Roederer+2012d
HD 108317,Fe II,26,,+5.13,0.14,0.22,Roederer+2012d
HD 108317,Cu I,29,,+0.70,0.11,0.16,Roederer+2012d
HD 108317,Zn I,30,,+2.26,0.09,0.15,Roederer+2012d
# HD 108317, Ge I , 32,          , +0.17  ,           0.12,      0.17, Roederer+2012d
HD 108317,Rb I,37,<,+1.40,,,Roederer+2012d
HD 108317,Sr II,38,,+0.48,0.10,0.19,Roederer+2012d
HD 108317,Y II,39,,-0.42,0.11,0.20,Roederer+2012d
HD 108317,Zr II,40,,+0.45,0.11,0.20,Roederer+2012d
HD 108317,Nb II,41,,-0.86,0.10,0.19,Roederer+2012d
HD 108317,Mo I,42,,-0.23,0.14,0.19,Roederer+2012d
# HD 108317, Mo II, 42, <        , +0.24  ,               ,          , Roederer+2012d
HD 108317,Ru I,44,,-0.04,0.11,0.16,Roederer+2012d
HD 108317,Rh I,45,,-0.84,0.24,0.27,Roederer+2012d
HD 108317,Pd I,46,,-0.67,0.13,0.18,Roederer+2012d
HD 108317,Ag I,47,,-1.34,0.17,0.21,Roederer+2012d
# HD 108317, Cd I , 48,          , -0.87  ,           0.25,      0.28, Roederer+2012d
HD 108317,Sn I,50,<,+0.80,,,Roederer+2012d
# HD 108317, Te I , 52,          , +0.02  ,           0.21,      0.24, Roederer+2012d
HD 108317,Ba II,56,,-0.32,0.10,0.19,Roederer+2012d
HD 108317,La II,57,,-1.12,0.05,0.17,Roederer+2012d
HD 108317,Ce II,58,,-0.68,0.04,0.17,Roederer+2012d
HD 108317,Pr II,59,,-0.90,0.16,0.23,Roederer+2012d
HD 108317,Nd II,60,,-0.71,0.07,0.18,Roederer+2012d
HD 108317,Sm II,62,,-1.05,0.11,0.20,Roederer+2012d
HD 108317,Eu II,63,,-1.37,0.06,0.18,Roederer+2012d
HD 108317,Gd II,64,,-0.82,0.10,0.19,Roederer+2012d
HD 108317,Tb II,65,,-1.30,0.24,0.29,Roederer+2012d
HD 108317,Dy II,66,,-0.75,0.08,0.18,Roederer+2012d
HD 108317,Ho II,67,,-1.50,0.12,0.20,Roederer+2012d
HD 108317,Er II,68,,-0.94,0.06,0.18,Roederer+2012d
HD 108317,Tm II,69,,-1.80,0.10,0.19,Roederer+2012d
# HD 108317, Yb II, 70,          , -1.13  ,           0.14,      0.22, Roederer+2012d
HD 108317,Lu II,71,,-1.64,0.20,0.26,Roederer+2012d
HD 108317,Hf II,72,,-0.99,0.21,0.27,Roederer+2012d
HD 108317,Os I,76,,-0.50,0.20,0.23,Roederer+2012d
# HD 108317, Os II, 76,          , -0.88  ,           0.20,      0.26, Roederer+2012d
