Source,RA_hms,DEC_deg,name,rvobs,vhelcorr,UT-DATE,UT-TIME,BINNING,EXPTIME,SLITSIZE,[Eu II/Mg I],e_[Eu II/Mg I],[Eu II/Fe II],e_[Eu II/Fe II],[Sr II/Ba II],e_[Sr II/Ba II],[Sr II/Mg I],e_[Sr II/Mg I],[Eu II/Ba II],e_[Eu II/Ba II],[Eu II/Sr II],e_[Eu II/Sr II],[C/Fe],e_[C/Fe],ul_[C/Fe],corr_[C/Fe],[Na I/Fe],e_[Na I/Fe],ul_[Na I/Fe],[Mg I/Fe],e_[Mg I/Fe],ul_[Mg I/Fe],[Al I/Fe],e_[Al I/Fe],ul_[Al I/Fe],[Si I/Fe],e_[Si I/Fe],ul_[Si I/Fe],[Ca I/Fe],e_[Ca I/Fe],ul_[Ca I/Fe],[Sc II/Fe],e_[Sc II/Fe],ul_[Sc II/Fe],[Ti II/Fe],e_[Ti II/Fe],ul_[Ti II/Fe],[Cr I/Fe],e_[Cr I/Fe],ul_[Cr I/Fe],[Cr II/Fe],e_[Cr II/Fe],ul_[Cr II/Fe],[Mn I/Fe],e_[Mn I/Fe],ul_[Mn I/Fe],[Co I/Fe],e_[Co I/Fe],ul_[Co I/Fe],[Ni I/Fe],e_[Ni I/Fe],ul_[Ni I/Fe],[Zn I/Fe],e_[Zn I/Fe],ul_[Zn I/Fe],[Sr II/Fe],e_[Sr II/Fe],ul_[Sr II/Fe],[Y II/Fe],e_[Y II/Fe],ul_[Y II/Fe],[Zr II/Fe],e_[Zr II/Fe],ul_[Zr II/Fe],[Ba II/Fe],e_[Ba II/Fe],ul_[Ba II/Fe],[La II/Fe],e_[La II/Fe],ul_[La II/Fe],[Eu II/Fe],e_[Eu II/Fe],ul_[Eu II/Fe],[Dy II/Fe],e_[Dy II/Fe],ul_[Dy II/Fe],[C/H],e_[C/H],ul_[C/H],[Na I/H],e_[Na I/H],ul_[Na I/H],[Mg I/H],e_[Mg I/H],ul_[Mg I/H],[Al I/H],e_[Al I/H],ul_[Al I/H],[Si I/H],e_[Si I/H],ul_[Si I/H],[Ca I/H],e_[Ca I/H],ul_[Ca I/H],[Sc II/H],e_[Sc II/H],ul_[Sc II/H],[Ti II/H],e_[Ti II/H],ul_[Ti II/H],[Cr I/H],e_[Cr I/H],ul_[Cr I/H],[Cr II/H],e_[Cr II/H],ul_[Cr II/H],[Mn I/H],e_[Mn I/H],ul_[Mn I/H],[Co I/H],e_[Co I/H],ul_[Co I/H],[Ni I/H],e_[Ni I/H],ul_[Ni I/H],[Zn I/H],e_[Zn I/H],ul_[Zn I/H],[Sr II/H],e_[Sr II/H],ul_[Sr II/H],[Y II/H],e_[Y II/H],ul_[Y II/H],[Zr II/H],e_[Zr II/H],ul_[Zr II/H],[Ba II/H],e_[Ba II/H],ul_[Ba II/H],[La II/H],e_[La II/H],ul_[La II/H],[Eu II/H],e_[Eu II/H],ul_[Eu II/H],[Dy II/H],e_[Dy II/H],ul_[Dy II/H],[Fe/H],e_[Fe/H],[alpha/Fe],ul_[alpha/Fe],teff,logg,mh,vt,etot_teff,etot_logg,etot_mh,etot_vt,lambda,beta,comp,exp_ul_[C/Fe],exp_ul_[Na I/Fe],exp_ul_[Mg I/Fe],exp_ul_[Al I/Fe],exp_ul_[Si I/Fe],exp_ul_[Ca I/Fe],exp_ul_[Sc II/Fe],exp_ul_[Ti II/Fe],exp_ul_[Cr I/Fe],exp_ul_[Cr II/Fe],exp_ul_[Mn I/Fe],exp_ul_[Co I/Fe],exp_ul_[Ni I/Fe],exp_ul_[Zn I/Fe],exp_ul_[Sr II/Fe],exp_ul_[Y II/Fe],exp_ul_[Zr II/Fe],exp_ul_[Ba II/Fe],exp_ul_[La II/Fe],exp_ul_[Eu II/Fe],exp_ul_[Dy II/Fe],exp_ul_[C/H],exp_ul_[Na I/H],exp_ul_[Mg I/H],exp_ul_[Al I/H],exp_ul_[Si I/H],exp_ul_[Ca I/H],exp_ul_[Sc II/H],exp_ul_[Ti II/H],exp_ul_[Cr I/H],exp_ul_[Cr II/H],exp_ul_[Mn I/H],exp_ul_[Co I/H],exp_ul_[Ni I/H],exp_ul_[Zn I/H],exp_ul_[Sr II/H],exp_ul_[Y II/H],exp_ul_[Zr II/H],exp_ul_[Ba II/H],exp_ul_[La II/H],exp_ul_[Eu II/H],exp_ul_[Dy II/H],exp_ul_[alpha/Fe],vhel
620763790933951488,9:36:00.01,17.12261,srg421,169.7,-28.68,2023-05-24,84175,2x2,1320,$1arcs0$,0.56,0.14,1.14,0.06,-0.22,0.1,-0.32,0.21,0.66,0.14,0.88,0.23,-0.33,0.18,False,0.39,0.34,0.1,False,0.5,0.07,False,-0.55,0.16,False,0.55,0.06,False,0.3,0.06,False,0.11,0.04,False,0.4,0.07,False,-0.23,0.06,False,0.12,0.05,False,-0.57,0.08,False,0.24,0.12,False,0.24,0.08,False,0.11,0.13,False,0.25,0.21,False,0.16,0.08,False,0.32,0.05,False,0.47,0.13,False,0.69,0.08,False,1.14,0.06,False,1.27,0.14,False,-3.14,0.29,False,-2.47,0.22,False,-2.31,0.14,False,-3.36,0.28,False,-2.26,0.19,False,-2.51,0.11,False,-2.77,0.1,False,-2.49,0.12,False,-3.04,0.17,False,-2.76,0.08,False,-3.38,0.11,False,-2.56,0.18,False,-2.57,0.16,False,-2.7,0.06,False,-2.63,0.24,False,-2.72,0.12,False,-2.56,0.09,False,-2.41,0.17,False,-2.19,0.12,False,-1.75,0.09,False,-1.62,0.14,False,-2.81,0.16,0.45,False,4655,1.14,-2.8,2.23,122,0.2,0.21,0.27,216.9,11.58,stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0
626434144197068160,9:57:30.02,18.50484,srg422,-32.0,-28.91,2023-05-25,82094,2x2,4163,$1arcs0$,0.53,0.2,0.43,0.16,-0.22,0.15,-0.01,0.16,0.31,0.23,0.54,0.16,-0.62,0.2,False,-0.58,0.24,0.07,False,0.1,0.13,False,-0.79,0.12,False,0.28,0.09,False,0.25,0.08,False,-0.04,0.1,False,0.32,0.1,False,-0.19,0.08,False,-0.02,0.12,False,-0.43,0.16,False,0.12,0.2,False,0.09,0.11,False,0.13,0.16,False,-0.1,0.11,False,-0.3,0.12,False,0.09,0.13,False,0.12,0.17,False,0.02,0.14,False,0.43,0.16,False,0.33,0.17,False,-2.55,0.23,False,-1.7,0.23,False,-1.84,0.19,False,-2.72,0.26,False,-1.66,0.2,False,-1.69,0.15,False,-1.78,0.15,False,-1.42,0.18,False,-2.13,0.24,False,-1.76,0.11,False,-2.37,0.12,False,-1.81,0.23,False,-1.85,0.14,False,-1.8,0.06,False,-1.85,0.14,False,-2.04,0.11,False,-1.66,0.08,False,-1.62,0.24,False,-1.72,0.09,False,-1.31,0.1,False,-1.42,0.13,False,-1.93,0.19,0.24,False,5026,2.06,-2.02,1.9,123,0.2,0.23,0.35,221.71,9.19,stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.9
722010223233565952,10:21:32.33,21.77743,srg423,-13.9,-28.76,2023-05-24,85846,2x2,2100,$1arcs0$,-0.06,0.13,0.24,0.08,0.34,0.16,-0.38,0.19,0.67,0.08,0.33,0.22,-0.29,0.15,False,0.32,0.27,0.09,False,0.31,0.09,False,-0.64,0.11,False,0.45,0.15,False,0.32,0.04,False,0.11,0.06,False,0.3,0.06,False,-0.22,0.06,False,-0.04,0.09,False,-0.49,0.08,False,0.19,0.07,False,0.01,0.08,False,0.11,0.06,False,-0.09,0.16,False,-0.4,0.07,False,-0.07,0.07,False,-0.44,0.05,False,0.1,0.09,False,0.24,0.08,False,0.24,0.08,False,-2.81,0.1,False,-2.24,0.16,False,-2.2,0.09,False,-3.15,0.13,False,-2.06,0.16,False,-2.2,0.06,False,-2.38,0.11,False,-2.19,0.11,False,-2.74,0.11,False,-2.54,0.09,False,-3.0,0.05,False,-2.33,0.1,False,-2.5,0.09,False,-2.4,0.04,False,-2.59,0.22,False,-2.9,0.08,False,-2.57,0.07,False,-2.93,0.08,False,-2.39,0.07,False,-2.26,0.08,False,-2.26,0.1,False,-2.52,0.08,0.35,False,4722,1.29,-2.51,2.1,122,0.2,0.21,0.29,226.41,4.64,stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.7
720678611573056384,10:28:03.83,20.27109,srg424,-12.0,-28.88,2023-05-25,85434,2x2,1500,$1arcs0$,-0.32,0.2,0.03,0.13,0.44,0.29,-0.66,0.3,0.78,0.12,0.34,0.33,-0.07,0.18,False,0.43,0.28,0.1,False,0.31,0.09,False,-0.34,0.11,False,0.4,0.11,False,0.3,0.07,False,0.11,0.08,False,0.34,0.1,False,-0.34,0.07,False,-0.17,0.1,False,-0.42,0.11,False,0.22,0.07,False,0.08,0.08,False,0.06,0.14,False,-0.31,0.27,False,-0.42,0.09,False,0.14,,True,-0.75,0.1,False,0.16,,True,0.03,0.13,False,0.47,,True,-2.5,0.28,False,-2.15,0.25,False,-2.13,0.16,False,-2.77,0.17,False,-2.03,0.24,False,-2.13,0.12,False,-2.38,0.12,False,-2.14,0.15,False,-2.78,0.16,False,-2.65,0.1,False,-2.85,0.09,False,-2.22,0.12,False,-2.35,0.15,False,-2.37,0.05,False,-2.79,0.31,False,-2.9,0.08,False,-2.35,,True,-3.23,0.12,False,-2.32,,True,-2.45,0.13,False,-2.01,,True,-2.43,0.17,0.34,False,4814,1.5,-2.49,1.9,122,0.2,0.21,0.31,228.3,5.67,stream,,,,,,,,,,,,,,,,,<,,<,,<,,,,,,,,,,,,,,,,,<,,<,,<,,-40.9
3987367858589682432,10:35:36.77,20.56429,srg426,-21.5,-28.75,2023-05-25,1760,2x2,2100,$1arcs0$,-0.16,0.14,0.08,0.06,0.18,0.25,-0.75,0.26,0.77,0.06,0.59,0.27,0.02,0.19,False,0.53,0.11,0.15,False,0.32,0.06,False,-0.72,0.15,False,0.4,0.08,False,0.19,0.06,False,-0.14,0.06,False,0.08,0.07,False,-0.28,0.1,False,-0.04,0.09,False,-0.56,0.11,False,0.08,0.09,False,-0.03,0.06,False,0.06,0.1,False,-0.51,0.24,False,-0.43,0.11,False,0.13,,True,-0.69,0.08,False,0.51,,True,0.08,0.06,False,0.6,,True,-2.91,0.3,False,-2.82,0.23,False,-2.61,0.13,False,-3.66,0.26,False,-2.53,0.22,False,-2.74,0.11,False,-3.0,0.09,False,-2.77,0.1,False,-3.21,0.18,False,-2.89,0.1,False,-3.5,0.12,False,-2.85,0.15,False,-2.96,0.17,False,-2.87,0.05,False,-3.36,0.27,False,-3.28,0.11,False,-2.72,,True,-3.54,0.1,False,-2.34,,True,-2.77,0.08,False,-2.26,,True,-2.93,0.14,0.26,False,4750,1.36,-2.94,2.23,122,0.2,0.22,0.28,229.92,4.88,stream,,,,,,,,,,,,,,,,,<,,<,,<,,,,,,,,,,,,,,,,,<,,<,,<,,-50.2
3897736907644138368,11:49:35.97,6.25885,srg428,219.9,-26.92,2023-05-25,4156,2x2,1200,$1arcs0$,0.43,0.18,0.64,0.11,-0.28,0.15,-0.43,0.25,0.58,0.17,0.86,0.29,-0.67,0.2,False,-0.18,0.23,0.09,False,0.26,0.07,False,-0.92,0.28,False,0.35,0.07,False,0.26,0.07,False,0.23,0.09,False,0.29,0.09,False,-0.29,0.05,False,0.0,0.07,False,-0.43,0.11,False,0.12,0.14,False,0.04,0.09,False,0.01,0.15,False,-0.22,0.23,False,-0.25,0.09,False,0.04,0.08,False,0.06,0.12,False,0.21,0.09,False,0.64,0.11,False,0.96,0.07,False,-3.06,0.26,False,-2.16,0.25,False,-2.13,0.16,False,-3.31,0.37,False,-2.04,0.2,False,-2.13,0.13,False,-2.11,0.15,False,-2.05,0.15,False,-2.68,0.2,False,-2.34,0.09,False,-2.82,0.1,False,-2.27,0.18,False,-2.35,0.15,False,-2.38,0.06,False,-2.56,0.3,False,-2.59,0.11,False,-2.3,0.08,False,-2.28,0.18,False,-2.12,0.1,False,-1.7,0.12,False,-1.38,0.07,False,-2.39,0.18,0.29,False,4790,1.48,-2.4,2.15,123,0.2,0.22,0.3,252.04,11.78,stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0
3918753557013284608,12:05:57.78,11.44113,srg430,7.0,-26.15,2023-05-25,5531,2x2,2106,$1arcs0$,-0.3,0.24,-0.07,0.13,0.48,0.06,-0.31,0.18,0.49,0.11,0.01,0.12,-0.86,0.22,False,-0.07,0.44,0.13,False,0.37,0.07,False,-0.65,0.26,False,0.16,0.16,False,0.31,0.06,False,0.01,0.08,False,0.31,0.11,False,-0.1,0.09,False,-0.1,0.12,False,-0.25,0.09,False,0.11,0.1,False,-0.08,0.06,False,-0.08,0.24,False,-0.09,0.11,False,-0.65,0.11,False,-0.31,0.1,False,-0.56,0.1,False,-0.38,0.13,False,-0.07,0.13,False,0.1,0.1,False,-3.28,0.24,False,-1.98,0.32,False,-2.05,0.18,False,-3.07,0.42,False,-2.26,0.22,False,-2.11,0.16,False,-2.27,0.14,False,-1.97,0.15,False,-2.52,0.3,False,-2.38,0.13,False,-2.67,0.15,False,-2.31,0.21,False,-2.5,0.17,False,-2.5,0.05,False,-2.37,0.12,False,-2.93,0.1,False,-2.59,0.11,False,-2.84,0.13,False,-2.66,0.11,False,-2.35,0.09,False,-2.18,0.07,False,-2.42,0.21,0.29,False,4280,0.4,-2.42,2.15,122,0.2,0.21,0.25,253.52,5.37,stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.2
3707325064494295552,12:36:03.09,4.37315,sgr431,39.4,-28.97,2023-06-25,81879,2x2,4794,$1arcs0$,0.52,0.26,0.47,0.14,1.19,0.08,1.08,0.18,0.63,0.14,-0.56,0.13,-0.1,0.2,False,0.6,-0.03,0.11,False,-0.08,0.16,False,-1.09,0.15,False,0.62,0.14,False,0.05,0.11,False,-0.11,0.1,False,0.19,0.12,False,-0.32,0.14,False,-0.08,0.1,False,-0.31,0.12,False,0.24,0.12,False,0.13,0.12,False,0.48,0.13,False,1.03,0.14,False,0.13,0.11,False,0.35,,True,-0.16,0.12,False,0.39,0.12,False,0.47,0.14,False,0.84,,True,-2.93,0.3,False,-2.86,0.24,False,-2.91,0.24,False,-3.92,0.32,False,-2.2,0.23,False,-2.77,0.12,False,-2.97,0.11,False,-2.68,0.15,False,-3.15,0.26,False,-2.94,0.08,False,-3.14,0.13,False,-2.58,0.18,False,-2.69,0.19,False,-2.34,0.07,False,-1.83,0.14,False,-2.74,0.11,False,-2.52,,True,-3.02,0.16,False,-2.48,0.1,False,-2.39,0.15,False,-2.03,,True,-2.82,0.18,0.28,False,4659,1.15,-2.82,2.12,123,0.2,0.23,0.39,263.42,8.34,stream,,,,,,,,,,,,,,,,,<,,,,<,,,,,,,,,,,,,,,,,<,,,,<,,10.4
3708871630677912320,12:48:19.63,5.74646,sgr434,19.9,-28.69,2023-06-25,83246,2x2,2754,$1arcs0$,,,,,0.91,0.18,0.18,0.19,,,,,0.05,0.18,False,0.4,0.94,0.09,False,0.22,0.08,False,-0.54,0.27,False,0.76,0.1,False,0.44,0.08,False,-0.02,0.08,False,0.27,0.1,False,-0.33,0.05,False,0.2,0.08,False,-0.55,0.12,False,0.33,0.05,False,0.16,0.03,False,0.13,0.12,False,0.35,0.18,False,-0.1,0.1,False,0.28,0.09,False,-0.57,0.1,False,,,False,0.06,,True,0.11,,True,-2.66,0.27,False,-1.76,0.23,False,-2.48,0.14,False,-3.24,0.4,False,-1.95,0.21,False,-2.26,0.12,False,-2.66,0.1,False,-2.38,0.14,False,-3.03,0.18,False,-2.45,0.07,False,-3.25,0.12,False,-2.37,0.14,False,-2.54,0.15,False,-2.57,0.05,False,-2.3,0.22,False,-2.75,0.07,False,-2.37,0.08,False,-3.22,0.1,False,,,False,-2.58,,True,-2.54,,True,-2.7,0.16,0.48,False,4846,1.57,-2.68,1.89,123,0.2,0.22,0.32,265.49,5.69,stream,,,,,,,,,,,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,,,,<,<,,-8.8
3742595885684658560,13:17:16.33,12.8542,srg438,-79.6,-21.25,2023-05-26,10681,2x2,3990,$1arcs0$,,,,,0.28,0.25,-0.4,0.26,,,,,0.2,0.15,False,0.21,-0.56,0.04,False,-0.21,0.1,False,-1.46,0.11,False,0.02,0.08,False,-0.06,0.07,False,-0.48,0.08,False,-0.01,0.09,False,-0.35,0.05,False,,,False,-0.58,0.12,False,-0.45,0.09,False,-0.27,0.15,False,0.3,,True,-0.56,0.24,False,0.18,,True,0.37,,True,-0.84,0.09,False,0.43,,True,0.56,,True,1.49,,True,-2.33,0.25,False,-3.1,0.17,False,-2.75,0.14,False,-4.0,0.24,False,-2.52,0.19,False,-2.59,0.12,False,-3.08,0.14,False,-2.6,0.18,False,-2.88,0.19,False,,,False,-3.12,0.14,False,-2.98,0.16,False,-2.8,0.28,False,-2.23,,True,-3.15,0.3,False,-2.42,,True,-2.23,,True,-3.43,0.16,False,-2.16,,True,-2.04,,True,-1.11,,True,-2.53,0.16,-0.06,False,5274,2.6,-2.52,1.38,123,0.2,0.22,0.3,268.31,-3.98,stream,,,,,,,,,,,,,,<,,<,<,,<,<,<,,,,,,,,,,,,,,<,,<,<,,<,<,<,,-100.8
